"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient_X", "Skin_Friction_Coefficient_Y", "Heat_Flux"
14250, 3.693984842000000e-02, -5.187149367000000e-02, 8.237418942196043e-02, -5.243576060445941e+00, 1.595872387433036e-04, 4.307671500068993e-04, -2.389030448738003e-07
14251, 3.697278581000000e-02, -5.175293977000000e-02, 8.099272126351054e-02, -5.251470164208511e+00, 6.203299495907123e-05, 3.607979221453173e-04, -9.981363092973059e-08
14252, 3.698266521000000e-02, -5.162246154000000e-02, 7.935725572316317e-02, -5.260815681581924e+00, 1.102887149519863e-05, -6.376059321161660e-04, -6.030429462825965e-07
14253, 3.696815570000000e-02, -5.148526183000000e-02, 7.909872221659903e-02, -5.262293015905148e+00, 1.200150867637328e-04, -7.542037750719279e-04, -7.628921312273729e-07
14254, 3.693796236000000e-02, -5.134153804000000e-02, 7.996000493911695e-02, -5.257371400347903e+00, 2.407034220887995e-04, -1.020486742917242e-03, -1.365532439410082e-06
14255, 3.689884121000000e-02, -5.119139597000000e-02, 8.070405809737195e-02, -5.253119668015017e+00, 1.611456786324002e-04, -6.407176769814562e-04, -5.519635443135799e-07
14256, 3.686015331000000e-02, -5.103216807000000e-02, 8.116806068032982e-02, -5.250468224683830e+00, 1.845105685970228e-04, -7.619685999511062e-04, -8.119664173256860e-07
14257, 3.681957508000000e-02, -5.086405265000000e-02, 8.141702190251633e-02, -5.249045589128478e+00, 1.824096066593348e-04, -7.548769075522445e-04, -8.039931157145402e-07
14258, 3.677670695000000e-02, -5.068683686000000e-02, 8.159257931006111e-02, -5.248042403942508e+00, 1.732682308333410e-04, -7.158882036043148e-04, -7.312194333340070e-07
14259, 3.673151527000000e-02, -5.050021804000000e-02, 8.174068715846268e-02, -5.247196073380213e+00, 1.676380647887050e-04, -6.919940279055511e-04, -6.900542939541841e-07
14260, 3.668393921000000e-02, -5.030390043000000e-02, 8.187050419772576e-02, -5.246454261727282e+00, 1.638345684709187e-04, -6.758778986879353e-04, -6.644749605517247e-07
14261, 3.663391682000000e-02, -5.009758851000000e-02, 8.198155152523530e-02, -5.245819705570084e+00, 1.605351052565442e-04, -6.621194652558056e-04, -6.431291724603126e-07
14262, 3.658140026000000e-02, -4.988098337000000e-02, 8.207492652182458e-02, -5.245286134161002e+00, 1.579729616185149e-04, -6.515864169090557e-04, -6.275387381112183e-07
14263, 3.652632097000000e-02, -4.965379108000000e-02, 8.215217976517912e-02, -5.244844687056120e+00, 1.552701924014146e-04, -6.406630841501482e-04, -6.108331562224321e-07
14264, 3.646863755000000e-02, -4.941571116000000e-02, 8.221412753862301e-02, -5.244490699779297e+00, 1.530935331687805e-04, -6.321173507949091e-04, -5.983579276974965e-07
14265, 3.640829044000000e-02, -4.916644753000000e-02, 8.226157904104939e-02, -5.244219548336861e+00, 1.510773899494193e-04, -6.243347982110154e-04, -5.870845173123244e-07
14266, 3.634522505000000e-02, -4.890570289000000e-02, 8.229507511089698e-02, -5.244028142223446e+00, 1.493936728857508e-04, -6.180032642755300e-04, -5.782205275894684e-07
14267, 3.627938080000000e-02, -4.863318145000000e-02, 8.231548087198035e-02, -5.243911537874398e+00, 1.480905842551334e-04, -6.132552155824857e-04, -5.717272587526945e-07
14268, 3.621069156000000e-02, -4.834858871000000e-02, 8.232371698802494e-02, -5.243864474354143e+00, 1.472306932277223e-04, -6.102996443690585e-04, -5.672354736863624e-07
14269, 3.613908578000000e-02, -4.805163151000000e-02, 8.232120036211305e-02, -5.243878855073640e+00, 1.470255521381451e-04, -6.099054240549676e-04, -5.656182271343069e-07
14270, 3.606447079000000e-02, -4.774202176000000e-02, 8.230863993194050e-02, -5.243950628960341e+00, 1.468430901381838e-04, -6.094682930336499e-04, -5.627594974841778e-07
14271, 3.598677422000000e-02, -4.741946648000000e-02, 8.228711839884428e-02, -5.244073609149462e+00, 1.473437105405819e-04, -6.116704876371377e-04, -5.643929648487276e-07
14272, 3.590588504000000e-02, -4.708368200000000e-02, 8.225905724447943e-02, -5.244233958602974e+00, 1.478395877718011e-04, -6.135791148243729e-04, -5.654213588417665e-07
14273, 3.582170555000000e-02, -4.673438145000000e-02, 8.222604032642009e-02, -5.244422626706171e+00, 1.484084138268764e-04, -6.156164761694349e-04, -5.667003924351337e-07
14274, 3.573414345000000e-02, -4.637127662000000e-02, 8.218958945209115e-02, -5.244630917416622e+00, 1.493566999887839e-04, -6.190181619529266e-04, -5.704356979485890e-07
14275, 3.564308662000000e-02, -4.599408415000000e-02, 8.215242440627785e-02, -5.244843289106983e+00, 1.501189741469326e-04, -6.214892671937595e-04, -5.725389611968055e-07
14276, 3.554845099000000e-02, -4.560251390000000e-02, 8.211511611142418e-02, -5.245056479363290e+00, 1.510866352634856e-04, -6.247427411671968e-04, -5.760965206534853e-07
14277, 3.545014645000000e-02, -4.519627718000000e-02, 8.207924645199514e-02, -5.245261448845742e+00, 1.519137887984365e-04, -6.274100155602588e-04, -5.785794902400243e-07
14278, 3.534810570000000e-02, -4.477507985000000e-02, 8.204397986710968e-02, -5.245462972187945e+00, 1.526328621484753e-04, -6.297543303468586e-04, -5.805149736911210e-07
14279, 3.524227792000000e-02, -4.433862369000000e-02, 8.200823620038740e-02, -5.245667221712072e+00, 1.534898536123287e-04, -6.328063842977320e-04, -5.837812883768180e-07
14280, 3.513260420000000e-02, -4.388661249000000e-02, 8.197135333650132e-02, -5.245877980934279e+00, 1.538338591231094e-04, -6.339901315402987e-04, -5.837502077566422e-07
14281, 3.501907334000000e-02, -4.341873842000000e-02, 8.192913232557984e-02, -5.246119243853830e+00, 1.541661743518879e-04, -6.354720300181230e-04, -5.843103054938246e-07
14282, 3.490166806000000e-02, -4.293469513000000e-02, 8.187979306463762e-02, -5.246401182487785e+00, 1.546701836568933e-04, -6.378850807741453e-04, -5.867121120824109e-07
14283, 3.478034473000000e-02, -4.243418267000000e-02, 8.182153668075010e-02, -5.246734076109999e+00, 1.547775683520129e-04, -6.388731249234553e-04, -5.866002764959892e-07
14162, 4.784035153000000e-03, -5.444555696000000e-03, 1.263418458703717e-01, -4.992332309312161e+00, 2.942859578404722e-05, -2.423871042964797e-05, 7.878135812777680e-10
60, 4.167102916000000e-03, -4.941550526000000e-03, 1.264171063956938e-01, -4.991902249167464e+00, 2.599571873125021e-05, -2.095181007831020e-05, 2.789678799466095e-11
14163, 5.395928925000000e-03, -5.953666701000000e-03, 1.262629698257190e-01, -4.992783029567320e+00, 4.132325553415063e-05, -3.443355175604660e-05, -1.982351352158452e-10
14164, 6.007067733000000e-03, -6.463675683000000e-03, 1.261828382036028e-01, -4.993240924550841e+00, 5.447719167613013e-05, -4.528794432582771e-05, -1.790765304185980e-09
14165, 6.624415897000000e-03, -6.974931709000000e-03, 1.261095292563827e-01, -4.993659832820670e+00, 5.438979907207642e-05, -4.489573316658490e-05, -1.658745943258134e-10
14166, 7.251925050000000e-03, -7.491235683000000e-03, 1.260458054665327e-01, -4.994023968762670e+00, 5.123302457088158e-05, -4.210945677141991e-05, 2.614690673080641e-09
14167, 7.888390068000000e-03, -8.013817587000000e-03, 1.259888525419366e-01, -4.994349414046077e+00, 4.494368339849583e-05, -3.701749721283266e-05, 6.614961522815292e-09
14168, 8.531555933000000e-03, -8.545193192999999e-03, 1.259344878175307e-01, -4.994660069614110e+00, 3.789886140451516e-05, -3.160216266305469e-05, 1.140649983081919e-08
14169, 9.178029378000000e-03, -9.089190032000000e-03, 1.258777026576687e-01, -4.994984556241893e+00, 3.750020440429965e-05, -3.192589389702985e-05, 1.499377642477296e-08
14170, 9.826157113000000e-03, -9.647355183000000e-03, 1.258135847971105e-01, -4.995350944016511e+00, 3.877558721946178e-05, -3.380773124447867e-05, 1.823927698943173e-08
14171, 1.047522124000000e-02, -1.022018809000000e-02, 1.257412617444127e-01, -4.995764218603356e+00, 4.001803246276795e-05, -3.575770160227539e-05, 2.141501497675681e-08
14172, 1.112479462000000e-02, -1.080773938000000e-02, 1.256606346936892e-01, -4.996224944607490e+00, 4.490195171275743e-05, -4.098661354469957e-05, 2.304139185700801e-08
14173, 1.177640560000000e-02, -1.140791242000000e-02, 1.255738334217789e-01, -4.996720951875550e+00, 4.940467100187578e-05, -4.581063536586844e-05, 2.433546596236703e-08
14174, 1.243125190000000e-02, -1.201915597000000e-02, 1.254857826906876e-01, -4.997224098910356e+00, 5.459180404671467e-05, -5.119505891756822e-05, 2.506316193040929e-08
14175, 1.309035438000000e-02, -1.264010627000000e-02, 1.253997377329697e-01, -4.997715784383031e+00, 5.743826356828042e-05, -5.433911317126471e-05, 2.641876945387358e-08
14176, 1.375384654000000e-02, -1.327038843000000e-02, 1.253179975326802e-01, -4.998182871241828e+00, 5.355214398116880e-05, -5.121828615828908e-05, 3.035440262574536e-08
14177, 1.441987262000000e-02, -1.391168273000000e-02, 1.252399478661115e-01, -4.998628869336506e+00, 5.381901562159819e-05, -5.223610180692326e-05, 3.263510271568952e-08
14178, 1.508744522000000e-02, -1.456476358000000e-02, 1.251618782650571e-01, -4.999074981342531e+00, 5.270219718322642e-05, -5.209356137733521e-05, 3.528589656359500e-08
14179, 1.575477122000000e-02, -1.523116514000000e-02, 1.250816472246256e-01, -4.999533444430710e+00, 5.114334909732550e-05, -5.180055431129773e-05, 3.806745199816237e-08
14180, 1.641890179000000e-02, -1.591332971000000e-02, 1.249939393757788e-01, -5.000034632138407e+00, 5.331384877698633e-05, -5.559853500968090e-05, 3.886043693319483e-08
14181, 1.707877369000000e-02, -1.661190578000000e-02, 1.248945298109805e-01, -5.000602686794397e+00, 5.517596805812791e-05, -5.941099182529009e-05, 3.941112714953671e-08
14182, 1.773269975000000e-02, -1.732796805000000e-02, 1.247806313621564e-01, -5.001253535073392e+00, 5.849129501857839e-05, -6.505881120950090e-05, 3.855356493816550e-08
14183, 1.838110341000000e-02, -1.806046361000000e-02, 1.246517595402228e-01, -5.001989945484441e+00, 6.113367487585241e-05, -7.013885276543277e-05, 3.758134721223366e-08
14184, 1.902374638000000e-02, -1.880918981000000e-02, 1.245119112024349e-01, -5.002789078843229e+00, 6.378846759426065e-05, -7.545979874104341e-05, 3.627413095702366e-08
14185, 1.966042990000000e-02, -1.957386757000000e-02, 1.243599404711899e-01, -5.003657483021772e+00, 6.654989274115612e-05, -8.110225292008101e-05, 3.449178024175771e-08
14186, 2.029125293000000e-02, -2.035386002000000e-02, 1.241975360306884e-01, -5.004585508396066e+00, 6.862733681199804e-05, -8.618678192119040e-05, 3.290333274108640e-08
14187, 2.091511534000000e-02, -2.114958514000000e-02, 1.240238092730995e-01, -5.005578232725147e+00, 7.086470784056423e-05, -9.187244620649911e-05, 3.087624426266928e-08
14188, 2.153115900000000e-02, -2.196133442000000e-02, 1.238349446028044e-01, -5.006657459412547e+00, 7.320510948512987e-05, -9.829538172307347e-05, 2.856479592946506e-08
